station_id,demand_id,route_energy_fraction,route_distance_km,straight_distance_km,detour_ratio,demand_name,demand_category,demand_latitude,demand_longitude,station_name,station_category,station_latitude,station_longitude,scenario,wind_speed_mps,wind_flow_bearing_deg,total_energy_fraction,battery_reserve_after_mission_fraction,unserved_reason
facility_2442,facility_415,0.44143160641432305,4.8950831602380385,4.8950831602380385,1.0,کلینیک فیزیوتراپی رامتن,clinic,35.7232878,51.4238688,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.48143160641432303,0.518568393585677,
facility_2442,facility_416,0.42297874166303295,4.69045733329304,4.69045733329304,1.0,کلینیک اسمایل اسپا,clinic,35.8072228,51.4085673,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.46297874166303293,0.5370212583369671,
facility_1846,facility_417,0.10868082484723059,1.2051735032564186,1.2051735032564186,1.0,درمانگاه شبانه روزی مهر تهرانپارس,clinic,35.7496418,51.5417932,Turan Hearing Aid Center,hospital,35.7417034,51.5326919,CALM,0.0,,0.14868082484723058,0.8513191751527694,
facility_1846,facility_418,0.19846827440511547,2.200836310234944,2.200836310234944,1.0,درمانگاه شهرداری منطقه چهار,clinic,35.7426447,51.5570039,Turan Hearing Aid Center,hospital,35.7417034,51.5326919,CALM,0.0,,0.23846827440511548,0.7615317255948846,
facility_2442,facility_419,0.33069766178049786,3.667142388060967,3.667142388060967,1.0,آزمایشگاه پاتوبیولوژی دکتر خسروشاهی,laboratory,35.7990647,51.4143652,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.37069766178049784,0.6293023382195022,
facility_2442,facility_42,0.33198847197949605,3.681456322940947,3.681456322940947,1.0,کلینیک نسیم قیطریه,clinic,35.7923,51.4529144,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.371988471979496,0.628011528020504,
facility_2442,facility_420,0.7468293470520837,8.281671967310237,8.281671967310237,1.0,بخش کرونا,hospital,35.8154618,51.4961203,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.7868293470520837,0.21317065294791626,
facility_2442,facility_421,0.3156382146977054,3.5001465392220807,3.5001465392220807,1.0,کلینیک سیماگل,clinic,35.798522,51.4196661,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.3556382146977054,0.6443617853022946,
facility_2442,facility_422,0.4399279985041064,4.878409488362369,4.878409488362369,1.0,کلینیک زیبایی دکتر زرگران,clinic,35.8012869,51.4603921,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.4799279985041064,0.5200720014958936,
facility_2513,facility_423,0.5641840877428473,6.256298794772169,6.256298794772169,1.0,درمانگاه آهنگ,clinic,35.6577613,51.4761268,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.6041840877428474,0.3958159122571526,
facility_2513,facility_426,0.19733036612826244,2.1882179214223165,2.1882179214223165,1.0,درمانگاه آزادگان,clinic,35.6259613,51.43574,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.23733036612826244,0.7626696338717376,
facility_2442,facility_427,0.33628778599650117,3.7291318843176375,3.7291318843176375,1.0,unnamed,doctors,35.7840985,51.4617982,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.37628778599650115,0.6237122140034989,
facility_2513,facility_428,0.3676733145130989,4.077169428264068,4.077169428264068,1.0,دکتر عبدالصمد مدرسی,doctors,35.6310515,51.3686609,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.4076733145130989,0.5923266854869011,
facility_2513,facility_429,0.3675933075682623,4.076282222539147,4.076282222539147,1.0,کلینیک دندانپزشکی مطهر,hospital,35.6310205,51.3686736,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.4075933075682623,0.5924066924317377,
facility_2442,facility_43,0.39408377007131373,4.370037846335361,4.370037846335361,1.0,کلینیک تخصصی شبانه روزی ندا,clinic,35.7973568,51.4573878,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.4340837700713137,0.5659162299286863,
facility_2513,facility_430,0.36750267671652265,4.075277207153519,4.075277207153519,1.0,درمانگاه شبانه روزی مطهر,hospital,35.6310016,51.3686865,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.4075026767165226,0.5924973232834774,
facility_1846,facility_432,0.6180499437821639,6.853623138970532,6.853623138970532,1.0,خانه بهداشت مینی سیتی,clinic,35.7993955,51.5055316,Turan Hearing Aid Center,hospital,35.7417034,51.5326919,CALM,0.0,,0.658049943782164,0.34195005621783603,
facility_2442,facility_433,0.3394227323167373,3.7638956454925334,3.7638956454925334,1.0,لیا کلینیک,clinic,35.7971215,51.4460706,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.3794227323167373,0.6205772676832627,
