name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
مرکز خدمات جامع سلامت امامزاده قاسم,clinic,,clinic,True,False,35.815953,51.4357331,486,,False
مرکز بهداشت سمرقندی,clinic,,clinic,True,False,35.7487544,51.5245633,491,,False
مرکز بهداشت سردار جنگل,clinic,clinic,clinic,True,False,35.7646155,51.3257311,492,,False
مرکز بهداشت شهید آیت,clinic,clinic,clinic,True,False,35.6393505,51.3698631,493,,False
درمانگاه شهدای شهر ری,clinic,clinic,clinic,True,False,35.6055038,51.4469045,501,,False
مرکز بهداشت هنگام,clinic,,clinic,True,False,35.7494016,51.5106442,502,,False
مرکز بهداشت امام حسن مجتبی,clinic,,clinic,True,False,35.7432546,51.5556084,503,,False
کلینیک الزهرا,clinic,,clinic,True,False,35.7655757,51.3908599,504,,False
مرکز بهداشت آفرینش,clinic,,clinic,True,False,35.6370684,51.4664476,505,,False
مرکز بهداشت شهر زیبا,clinic,clinic,clinic,True,False,35.7490426,51.2873198,509,,False
مرکز بهداشت جوادیه شهید شاطری,clinic,,clinic,True,False,35.6571216,51.387062,510,,False
مرکز بهداشت سازمان برنامه,clinic,clinic,clinic,True,False,35.7464269,51.3003536,512,,False
مرکز سلامت ظهیرآباد,clinic,clinic,clinic,True,False,35.5909773,51.4483575,514,,False
مرکز بهداشت کادوس,clinic,clinic,clinic,True,False,35.736346,51.5351521,515,,False
مرکز سلامت مبارکی,clinic,clinic,clinic,True,False,35.7747455,51.4925987,516,,False
مرکز سلامت جامعه مبارکی,clinic,clinic,clinic,True,False,35.6088542,51.426017,518,,False
مرکز بهداشت ناصری نیا,clinic,clinic,clinic,True,False,35.7387088,51.3774646,519,,False
مرکز خانه سلامت شقایق,clinic,,clinic,True,False,35.7576577,51.3022288,520,,False
آزمایشگاه مواد غذایی مرجعان خاتم,,laboratory,laboratory,True,False,35.6235265,51.3823964,522,,False
مرکز بهداشت چیذر,clinic,,clinic,True,False,35.7978293,51.4562501,523,,False
مرکز جامع سلامت سعادت‌آباد,clinic,clinic,clinic,True,False,35.7917388,51.3833946,524,,False
مرکز جامع سلامت مسجدالسادات,clinic,,clinic,True,False,35.7243657,51.4079958,527,,False
مرکز بهداشت حاج یحیی آقا سید عبدالله,clinic,clinic,clinic,True,False,35.6540904,51.4937715,529,,False
مركز خدمات جامع بهداشت فرحزاد,clinic,,clinic,True,False,35.7942854,51.3427725,531,,False
مرکز بهداشت شیبانی,clinic,,clinic,True,False,35.7802363,51.4579198,532,,False
unnamed,clinic,clinic,clinic,True,False,35.663773,51.4350647,533,,False
مرکز سلامت شیخ احمد کافی,clinic,,clinic,True,False,35.6383991,51.4178932,535,,False
مرکز بهداشت شهید یغماییان,clinic,clinic,clinic,True,False,35.6184574,51.4537798,536,,False
مرکز بهداشت شهید جمالی,clinic,clinic,clinic,True,False,35.597802,51.4397532,537,,False
