name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude
مطب معاینات پزشکی متقاضیان گواهینامه (دکترموذن و دکترنادری),clinic,clinic,clinic,True,False,35.7595963,51.4375577
دندانپزشکی nagoya,clinic,clinic,clinic,True,False,35.7282046,51.4939794
مرکز تصویر برداری جام‌جم,doctors,doctor,doctors,True,False,35.7697352,51.4119423
کلینیک زیبایی و درمان بیماری های پوستی دکتر پارسا شیری,clinic,clinic,clinic,True,False,35.7363398,51.4424064
دکتر شیرین کاویانپور متخصص  بیماریهای زنان و زایمان,doctors,doctor,doctors,True,False,35.8120724,51.4496944
خانه لیزر سعادت آباد شعبه دریا,clinic,clinic,clinic,True,False,35.7706477,51.3744944
خانه لیزر سعادت آباد شعبه سرو,clinic,clinic,clinic,True,False,35.7799827,51.3648638
مطب زیبایی دکتر رکسانا احسانی پور,doctors,doctor,doctors,True,False,35.7829062,51.4478241
کمپ ترک اعتیاداوای رهایی,doctors,doctor,doctors,True,False,35.8093299,51.5134796
دکتر هاله رحمان پور زنجانی,doctors,doctor,doctors,True,False,35.7986169,51.4332637
مطب دکتر دهقانی زاده,doctors,doctor,doctors,True,False,35.6896653,51.4511309
مطب دکتر مریم تزنگ/متخصص رادیوانکولوژی,doctors,doctor,doctors,True,False,35.7008923,51.3810245
کلینیک زیبایی دکتر علی اکبری,doctors,doctor,doctors,True,False,35.775607,51.3661494
شایا بیوتی تراپیست,doctors,doctor,doctors,True,False,35.806242,51.440988
مطب دکتر پیمان صدری,doctors,doctor,doctors,True,False,35.7665878,51.4137575
مطب دکتر سعید امیری پویا متخصص قلب و عروق,doctors,doctor,doctors,True,False,35.7596969,51.4448126
مطب دکتر رضا ساریخانی,doctors,doctor,doctors,True,False,35.802113,51.434006
مرکز خدمات روانشناسی و مشاوره مهرا,clinic,counselling,clinic,True,False,35.7611526,51.4460402
مطب دکتر مصطفی بهپور اسکویی,doctors,doctor,doctors,True,False,35.6906256,51.4647793
ریمالند,clinic,clinic,clinic,True,False,35.730166,51.348554
کلینیک شنوایی و تعادل و سمعک فرمانیه,clinic,clinic,clinic,True,False,35.7990052,51.4725885
دکتر وقردوست,doctors,doctor,doctors,True,False,35.7589604,51.4138976
مطب دکتر شیوا جوادیان,doctors,doctor,doctors,True,False,35.7947035,51.4350596
آزمایشگاه گلچهره قیطریه,,laboratory,laboratory,True,False,35.7958905,51.442628
کلینیک تخصصی قلب و عروق تهران,clinic,clinic,clinic,True,False,35.7773392,51.413955
کلینیک دکتر بهنوش زینلی زاده,clinic,clinic,clinic,True,False,35.8030497,51.4733027
مطب دکتر رضا راست منش,doctors,doctor,doctors,True,False,35.7799669,51.4492648
روان‌شناس و مشاور، حمیده حیدری,clinic,clinic,clinic,True,False,35.724125,51.4356098
مطب دندانپزشکی دکتر بهرام عوض ابادیان,clinic,clinic,clinic,True,False,35.7781741,51.3610859
مطب پزشکی ارغوان,doctors,doctor,doctors,True,False,35.7163368,51.3430986
مطب دندانپزشکی سیب,clinic,clinic,clinic,True,False,35.7881581,51.424003
مطب تخصصی دندانپزشکی دکتر مهدیه نظرآهاری,doctors,doctor,doctors,True,False,35.7813769,51.4663928
مرکز مشاوره و کلینیک مادر و کودک دانشگاه شهید بهشتی,clinic,clinic,clinic,True,False,35.7143277,51.3152857
مطب دکترمحمدحسین طاهریان,doctors,doctor,doctors,True,False,35.759824,51.4061433
مرکز مشاوره مونس,clinic,clinic,clinic,True,False,35.7060893,51.4630431
مطب دکتر سید ارسلان خسروی,doctors,doctor,doctors,True,False,35.726577,51.4172193
آزمایشگاه پادتن ژن آزما,,laboratory,laboratory,True,False,35.7001626,51.390179
کلینیک راز دکتر رضا امیرزرگر متخصص جراحی فک، صورت و زیبایی,doctors,doctor,doctors,True,False,35.8023747,51.4306148
دکتر بیتا هرمز جراح زنان و زایمان,doctors,doctor,doctors,True,False,35.7697719,51.3129659
کلینیک رومینا,clinic,clinic,clinic,True,False,35.7337633,51.5041539
پوست و مو زیبایی دکتر علیخانی,clinic,,clinic,True,False,35.7238042,51.4072451
کلینیک روانشناسی آوادان مهر,clinic,clinic,clinic,True,False,35.7071413,51.3763786
مرکز کاردرمانی پرواز,doctors,doctor,doctors,True,False,35.6869908,51.4768191
دکتر خشایار سنجری,doctors,doctor,doctors,True,False,35.7584421,51.3617244
فيزيوتراپي كيان پارس,doctors,doctor,doctors,True,False,35.730133,51.5273482
کلینیک تخصصی سونوگرافی دکتر دلیری,doctors,doctor,doctors,True,False,35.6574055,51.3727147
کلینیک دکتر سحرناز سجادیان,doctors,doctor,doctors,True,False,35.7584296,51.3620348
مطب دکتر مرتضی حسن‌زاده فوق تخصص گوارش و کبد,doctors,doctor,doctors,True,False,35.7664736,51.4425913
دندانپزشکی و دندانسازی ویتادنت رحمانی فرد,clinic,clinic,clinic,True,False,35.6951129,51.4774665
درمانگاه شبانه روزی دکتر نوتاش,doctors,doctor,doctors,True,False,35.7267036,51.3202554
کلینیک نازایی نوید,clinic,clinic,clinic,True,False,35.7675809,51.3725937
درمانگاه شبانه روزی ایران زمین,clinic,clinic,clinic,True,False,35.7056071,51.3902334
مطب دندانپزشكى كودكان دكتر مژده بقايی,doctors,doctor,doctors,True,False,35.775312,51.4637914
مطب سیدحسین حسنپور اونجی,doctors,doctor,doctors,True,False,35.7390945,51.5313798
دکتر فرانک محبیان پوست لیزر زیبایی,doctors,doctor,doctors,True,False,35.7553263,51.2397966
مطب دکتر عبدالرضا نوروزی متخصص تغذیه,clinic,clinic,clinic,True,False,35.7280466,51.4269452
مطب دکتر جوراستی فرد,doctors,doctor,doctors,True,False,35.7421561,51.4112156
مطب دکتر امیر بابک رحیمی,doctors,doctor,doctors,True,False,35.7243129,51.3839552
مرکز دندانپزشکی دکتر مریم سالارکیا,clinic,clinic,clinic,True,False,35.7265432,51.5226334
دکتر طسام | doctortesam,doctors,doctor,doctors,True,False,35.7166702,51.3896487
بیمارستان محک ،کودکان سرطانی,hospital,,hospital,True,True,35.8113149,51.5044509
Maryam Beauty & Care Clinic,clinic,,clinic,True,False,35.7648296,51.441583
دکتر کامران هداوند جراح چاقی و لاپاراسکوپی,doctors,doctor,doctors,True,False,35.7487869,51.4095856
دکتر ماندانا خسروآرا پزشک متخصص پوست مو زیبایی لیزر,clinic,clinic,clinic,True,False,35.7779378,51.3599296
دکتر یونس روحانی | جراح مغز و ستون فقرات,doctors,doctor,doctors,True,False,35.7970028,51.4336663
شعبه مرکزی دندانپزشکی سرو,clinic,clinic,clinic,True,False,35.7854332,51.4408382
دکتر فاطمه خوشدل  روانشناس و هیپنوتراپیست,doctors,doctor,doctors,True,False,35.7812101,51.3614178
مطب دکتر پیمان پورموسوی,doctors,,doctors,True,False,35.7437959,51.4049171
درمانگاه تامین اجتماعی شهیدنیکپور,hospital,,hospital,True,True,35.6673003,51.4462252
دکتر محمدرضا عباسی فوق تخصص کبد و گوارش,hospital,hospital,hospital,True,True,35.7566875,51.3949434
محمدرضا عباسی فوق تخصص گوارش,hospital,hospital,hospital,True,True,35.7567132,51.3948691
کلینیک رادین,doctors,doctor,doctors,True,False,35.7204973,51.4880342
دکتر عطیه بهمن متخصص زنان و زایمان,doctors,doctor,doctors,True,False,35.7566301,51.3948426
دکتر ماریا مرادی,doctors,doctor,doctors,True,False,35.7583358,51.4109841
کلینیک زیبایی سپند,doctors,doctor,doctors,True,False,35.7764444,51.3646735
کلینیک دندانپزشکی سرو قیطریه (شعبه مرکز),clinic,clinic,clinic,True,False,35.7856193,51.4408794
دکتر الهام اسلامی متخصص کلیه و‌مجاری ادراری,doctors,doctor,doctors,True,False,35.7816375,51.3729077
مرکز سلامت سوین,clinic,clinic,clinic,True,False,35.7579978,51.2248115
آزمایشگاه بهراد,doctors,doctor,doctors,True,False,35.7320791,51.333687
دندانپزشکی زهره(شعبه خزانه),hospital,dentist,hospital,True,True,35.6430185,51.4209797
مطب دکتر مروجی فر فلوشیپ انژیوپلاستی,doctors,doctor,doctors,True,False,35.7236824,51.4055778
مطب پوست و زیبایی و لیزر دکتر قدیرزاده,doctors,doctor,doctors,True,False,35.6684925,51.444231
مطب دندانپزشکی دکتر فرشاد صدر,doctors,doctor,doctors,True,False,35.8119444,51.464061
بیمارستان مادران,hospital,hospital,hospital,True,True,35.7300893,51.4337373
مطب دکتر بابک میرزاشاهی,doctors,doctor,doctors,True,False,35.7585015,51.3618564
کلینیک قلب و عروق دکتر مهشید حاجی علی,doctors,doctor,doctors,True,False,35.7246759,51.4189424
مطب پزشکی جراحی مغز و اعصاب,doctors,doctor,doctors,True,False,35.7712899,51.3777733
مطب دکتر سید فرنوش مدنی گاوگانی,doctors,doctor,doctors,True,False,35.7922112,51.4532791
دکتر کامبیز هرمان مقدم,doctors,doctor,doctors,True,False,35.7405821,51.4053941
کلینیک پوست و مو و زیبایی دکتر دمشقی,clinic,clinic,clinic,True,False,35.7382096,51.3107734
درمانگاه شبانه روزی سروش,clinic,clinic,clinic,True,False,35.707879,51.365383
پزشك فوق تخصص جراح سرطان سينه دکتر على حجت,doctors,doctor,doctors,True,False,35.7818029,51.3735593
دندانپزشکی دکتر پورفرید,doctors,doctor,doctors,True,False,35.770234,51.4223143
مطب زنان و زایمان دکتر آرزو صفری فر,doctors,doctor,doctors,True,False,35.7269624,51.5271608
مطب دکتر نجمه باقرحسینی,clinic,clinic,clinic,True,False,35.780009,51.4493705
دکتر مسعودی متخصص پوست مو زیبایی لیزر,doctors,doctor,doctors,True,False,35.7307968,51.378516
مطب مشاوره دکتر الهام ابراهیمی,doctors,doctor,doctors,True,False,35.7550481,51.3039642
مطب دکتر مهرناز چاوشی حسینی,doctors,doctor,doctors,True,False,35.7711645,51.3831282
مرکز بینایی سنجی و عینک تابان,clinic,clinic,clinic,True,False,35.7436117,51.404969
مراقبت پوست و مو مریم شریفی,doctors,doctor,doctors,True,False,35.8064942,51.4713167
خدمات روان شناسی اعظم السادات سیدصالح,clinic,clinic,clinic,True,False,35.7225073,51.3475232
بینایی سنجی و عینک سازی سایه اکباتان,clinic,clinic,clinic,True,False,35.7081988,51.3158566
مطب دکتر پرویز چگینی,doctors,doctor,doctors,True,False,35.742072,51.4103264
پزشک متخصص زنان و زایمان سارا میرزاجانی,doctors,doctor,doctors,True,False,35.7551048,51.303915
دکتر حاتمی کلینیک تخصصی آرمان الهیه,doctors,doctor,doctors,True,False,35.794933,51.4820096
کلینیک ارتوپدی بهین,doctors,doctor,doctors,True,False,35.801418,51.4794511
متخصص زنان و زایمان دکتر مریم نادری فر,doctors,doctor,doctors,True,False,35.7808045,51.4631841
مطب دکتر سادات,doctors,doctor,doctors,True,False,35.7630631,51.4506956
ازمایشگاه تخصصی پاتوبیولوژی رها,,laboratory,laboratory,True,False,35.7404676,51.5326425
دکتر مینا مویدنیا فوق تخصص رشد و غدد,doctors,doctor,doctors,True,False,35.7095299,51.4302445
