name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
بیمارستان دکترمعیری,hospital,hospital,hospital,True,True,35.692897628286126,51.436497182154255,2485,airport_buffer,True
بیمارستان ولی عصر عج,hospital,hospital,hospital,True,True,35.656070474735884,51.42178188592777,2486,,False
بیمارستان آیت‌الله اشرفی اصفهانی,hospital,hospital,hospital,True,True,35.66841310292529,51.42779842243231,2487,,False
بیمارستان بازرگانان,hospital,hospital,hospital,True,True,35.67494359824437,51.43934349357105,2488,airport_buffer,True
بیمارستان طرفه,hospital,hospital,hospital,True,True,35.69594507985541,51.4345575621157,2489,airport_buffer|government_political,True
بیمارستان مهدیه,hospital,hospital,hospital,True,True,35.65208185,51.434579649999996,2490,,False
درمانگاه سبز شهر,hospital,hospital,hospital,True,True,35.69729802039756,51.42898121422785,2491,airport_buffer,True
بیمارستان فجر,hospital,hospital,hospital,True,True,35.69309725017984,51.46528906257727,2492,airport_buffer,True
بیمارستان مردم,hospital,hospital,hospital,True,True,35.68036425782128,51.45714112180096,2493,airport_buffer,True
بیمارستان شهدای گمنام,hospital,hospital,hospital,True,True,35.663099948909434,51.449801744329804,2494,government_political,True
بیمارستان آیت الله کاشانی,hospital,hospital,hospital,True,True,35.64000321341102,51.42071993479835,2495,,False
بیمارستان شریعت رضوی,hospital,hospital,hospital,True,True,35.67555179687789,51.32875048032429,2496,airport_buffer|government_political,True
بیمارستان شهدای یافت آباد,hospital,hospital,hospital,True,True,35.643895900000004,51.310445099999995,2497,,False
بیمارستان غیاثی,hospital,hospital,hospital,True,True,35.655564551292414,51.34056629970684,2498,airport_buffer,True
بیمارستان روانپزشکی ایران /نواب صفوی,hospital,hospital,hospital,True,True,35.713233675013754,51.256237611608405,2499,airport_buffer,True
بیمارستان ایرانیان,hospital,hospital,hospital,True,True,35.747919806819844,51.2630203969565,2500,airport_buffer|government_political,True
بیمارستان انصاری,hospital,hospital,hospital,True,True,35.72100578223335,51.48846321725665,2501,airport_buffer,True
بیمارستان ۵۰۵ ارتش,hospital,hospital,hospital,True,True,35.81126145179736,51.49880918509783,2502,,False
درمانگاه شبانه‌روزی شهرداری منطقه ۵ تهران,clinic,clinic,clinic,True,False,35.7262037785664,51.33406706183815,2503,airport_buffer,True
مجتمع پزشکی حضرت فاطمه الزهرا,hospital,hospital,hospital,True,True,35.5907888791854,51.4264785290974,2504,,False
شرکت مادر تخصصی پالایش و پژوهش خون ایران,,blood_donation,blood_donation,False,True,35.74731567853109,51.373192585680094,2505,,False
بیمارستان فرمانیه,hospital,hospital,hospital,True,True,35.79892992558839,51.47272184309982,2506,,False
بیمارستان نیکان,hospital,hospital,hospital,True,True,35.799862815719734,51.48959542781405,2507,,False
کلینیک آذر,clinic,clinic,clinic,True,False,35.74224042171103,51.411067967502056,2508,,False
بیمارستان کودکان مفید,hospital,hospital,hospital,True,True,35.75844421625644,51.44621165913928,2509,government_political,True
درمانگاه شفا,clinic,clinic,clinic,True,False,35.7107293544822,51.50880506136551,2510,airport_buffer|protected_environment,True
آزمایشگاه پارسا,,laboratory,laboratory,True,False,35.649100350000005,51.3923505,2511,,False
درمانگاههای تخصصی بیمارستان لبافی نژاد,hospital,hospital,hospital,True,True,35.76808885449289,51.45863565397578,2512,government_political,True
درمانگاه شبانه‌روزی یاس,hospital,hospital,hospital,True,True,35.63380147765345,51.413563736577125,2513,,False
درمانگاه,clinic,clinic,clinic,True,False,35.650478270149236,51.45882930752094,2514,,False
بیمارستان آرمان,hospital,hospital,hospital,True,True,35.77117165155566,51.39639970773047,2515,,False
درمانگاه حضرت فاطمه س,clinic,clinic,clinic,True,False,35.64896282030152,51.483349753348904,2516,,False
مرکز اهدای خون افسریه,,blood_donation,blood_donation,False,True,35.65445062537607,51.48813817140914,2517,,False
آزمایشگاه منجی,,laboratory,laboratory,True,False,35.69061896766121,51.46483667785836,2518,airport_buffer|government_political,True
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.68547993950583,51.467586675369375,2519,airport_buffer,True
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.68592677349899,51.467215453440865,2520,airport_buffer,True
بیمارستان دکتر سپیر,hospital,hospital,hospital,True,True,35.67860522861339,51.43105330811553,2521,,False
درمانگاه شبانه روزی دادمهر,clinic,clinic,clinic,True,False,35.684669852533226,51.48260030893382,2522,airport_buffer,True
بیمارستان محب مهر,,hospital,hospital,True,True,35.761384647433395,51.41046677807172,2523,,False
بیمارستان یاس سپید,hospital,hospital,hospital,True,True,35.71039485,51.3977157,2524,,False
آزمایشگاه دکتر خرازی,,laboratory,laboratory,True,False,35.691975000000006,51.48305715,2525,airport_buffer|government_political,True
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.68015533881782,51.47988373432377,2526,airport_buffer|government_political,True
مرکز انتقال خون پیروزی,,blood_donation,blood_donation,False,True,35.69224545,51.481111549999994,2527,airport_buffer|government_political,True
unnamed,,hospital,hospital,True,True,35.65873633489825,51.41118810820441,2528,,False
بیمارستان شرکت نفت,hospital,hospital,hospital,True,True,35.69089906953537,51.413110649493106,2529,government_political,True
آزمایشگاه پزشکی,,laboratory,laboratory,True,False,35.6973421,51.41557125,2530,,False
درمانگاه شهرداری,clinic,clinic,clinic,True,False,35.74295907139992,51.19066713311302,2531,airport_buffer,True
درمانگاه شبانه‌روزی عمار,clinic,clinic,clinic,True,False,35.70951221929531,51.36942600455286,2532,government_political,True
مطب دکتر شیوا فارغ بال,doctors,doctor,doctors,True,False,35.70807922983866,51.36860224117179,2533,airport_buffer,True
درمانگاه شبانه‌روزی بهگر,clinic,clinic,clinic,True,False,35.70080519043634,51.365403196252146,2534,airport_buffer|government_political,True
درمانگاه,clinic,clinic,clinic,True,False,35.724867149999994,51.373332149999996,2535,,False
مرکز توانبخشی سکته مغزی تبسم,clinic,clinic,clinic,True,False,35.710062937292626,51.37740226965103,2536,,False
آزمایشگاه,,laboratory,laboratory,True,False,35.66834842949254,51.424887134347266,2537,,False
بیمارستان امیراعلم,hospital,hospital,hospital,True,True,35.699891429316175,51.42531103813039,2538,,False
ساختمان پزشکان توحید,doctors,doctor,doctors,True,False,35.70151012594534,51.3775905219018,2539,government_political,True
درمانگاه خیریه امام علی(ع),clinic,clinic,clinic,True,False,35.68251481040685,51.438048476567836,2540,airport_buffer,True
بیمارستان لولاگر,hospital,hospital,hospital,True,True,35.69454492048214,51.37300888764809,2541,airport_buffer,True
درمانگاه حصار بوعلی,clinic,clinic,clinic,True,False,35.809978855422614,51.466232976790835,2542,,False
درمانگاه شهرستانی,clinic,,clinic,True,False,35.71249809969151,51.446430926540756,2543,airport_buffer,True
کلینیک ثالث,clinic,clinic,clinic,True,False,35.66762374925828,51.404688169833484,2544,,False
پلی کلینیک کریم تهرانسر,clinic,,clinic,True,False,35.69232113428374,51.247421489583466,2545,airport_buffer,True
مرکز بهداشت و درمان صداوسیما,clinic,clinic,clinic,True,False,35.744740400000005,51.411229850000005,2546,,False
درمانگاه تخصصی طوس,clinic,clinic,clinic,True,False,35.67798247479634,51.39310978512945,2547,government_political,True
unnamed,,clinic,clinic,True,False,35.68701700303756,51.38189922305086,2548,,False
